epoch,train_loss,val_loss,train_acc,val_acc
1,0.5350926646781999,0.9293453780313333,81.44179894179894,75.60185185185185
2,0.07423174411366902,0.03408455225301212,97.67195767195767,98.82716049382717
3,0.053127108564460845,1.2666984749775307,98.3068783068783,72.23765432098766
4,0.044452699840231896,1.5526971407965118,98.5515873015873,73.33333333333333
5,0.026587609373345453,0.982544970570826,99.15343915343915,78.88888888888889
6,0.03663470357534169,0.020331430036629385,98.8425925925926,99.39814814814815
7,0.02645776739426523,0.019573678023423816,99.2063492063492,99.41358024691358
8,0.027012701675331197,0.02429191678004595,99.17989417989418,99.15123456790124
9,0.031354004414167594,0.0630901408810899,98.90873015873017,97.8395061728395
10,0.017871971113434384,0.03266775133356443,99.39814814814815,98.8425925925926
11,0.024371828957935323,0.012395114716315114,99.23941798941799,99.59876543209876
12,0.014446457133619587,0.05682072144140964,99.60317460317461,97.96296296296296
13,0.02006817229880749,0.01085524757424947,99.36507936507937,99.6141975308642
14,0.020048007814133566,0.019756845168825855,99.35185185185185,99.29012345679013
15,0.012028125524433685,0.020299311093135746,99.56349206349206,99.30555555555556
16,0.015056010666463593,0.01333353330301179,99.46428571428571,99.4753086419753
17,0.019754089224563037,0.054232650892420985,99.37830687830687,98.28703703703704
18,0.006508227137555302,0.003414173396416064,99.81481481481481,99.9074074074074
19,0.007103484714376149,0.0038221078516025775,99.78174603174604,99.86111111111111
20,0.0030266209601628544,0.0050660484625761155,99.91402116402116,99.84567901234568
21,0.004014700353540519,0.003434019255702843,99.86111111111111,99.9074074074074
22,0.004094103302848928,0.005307467699737447,99.85449735449735,99.84567901234568
23,0.0027920493557134565,0.0034852020683949964,99.92724867724868,99.84567901234568
24,0.0024009191154432626,0.0032790571628179706,99.94708994708995,99.83024691358025
25,0.0038964343811378195,0.0032397506380960955,99.9074074074074,99.89197530864197
26,0.0015699281251351292,0.002076257668956121,99.96693121693121,99.92283950617283
27,0.0017404537355226158,0.004094565262297643,99.95370370370371,99.87654320987654
28,0.004279431024255311,0.007503403997591205,99.86772486772487,99.79938271604938
29,0.0016575913008155534,0.0036729783145676943,99.95370370370371,99.86111111111111
30,0.0015551521677262415,0.006099912768120827,99.95370370370371,99.86111111111111
