epoch,train_loss,val_loss,train_acc,val_acc
1,1.0847055222370006,0.8037531730006723,60.81018518518518,71.62962962962963
2,0.781203466962885,0.6137764769441941,72.74074074074075,77.62962962962963
3,0.6879498996116497,0.5251719464274014,76.43981481481481,80.11111111111111
4,0.5879356088682457,0.748318300352377,79.88888888888889,76.33333333333333
5,0.5303459932627501,0.4244722587220809,82.18518518518519,85.14814814814815
6,0.473478436116819,0.4058893768226399,84.22222222222223,85.66666666666667
7,0.42476614321823475,0.6454985862269121,85.95370370370371,82.22222222222223
8,0.38690895173284745,0.34600970096447886,87.27777777777777,88.55555555555556
9,0.3492053473933979,0.28528953843257004,88.51388888888889,90.14814814814815
10,0.32771446994609305,0.2811607816640069,89.10185185185185,89.88888888888889
