epoch,train_loss,val_loss,train_acc,val_acc
1,2.3606666633348423,2.334984017353432,10.403439153439153,11.358024691358025
2,2.3266742239521525,2.3933526441162707,10.80026455026455,11.54320987654321
3,2.318007269992104,2.3213177264905442,10.998677248677248,11.527777777777779
4,2.3131749760752487,2.385676059068418,11.514550264550264,10.046296296296296
5,2.3057608252336204,2.506318120395436,11.263227513227513,10.87962962962963
6,2.3067827737784086,2.36703144569023,11.362433862433862,10.339506172839506
7,2.300070550371323,2.3000633856829475,11.71957671957672,11.820987654320987
8,2.2947011235394057,2.2935358449524523,11.970899470899472,10.87962962962963
9,2.2846886326995075,2.284634225508746,12.493386243386244,13.148148148148149
10,2.269915865443427,2.277115588094674,13.551587301587302,12.561728395061728
11,2.261001301214162,2.3001424237793566,13.373015873015873,12.993827160493828
12,2.2491761913782433,2.2684499820073447,14.457671957671957,13.533950617283951
13,2.237989591646798,2.2418454745236565,15.423280423280424,16.40432098765432
14,2.2254517712170565,2.2726313202988866,16.03174603174603,15.277777777777779
15,2.2154500484466553,2.275809797586179,16.316137566137566,16.52777777777778
16,2.2081991469306783,2.2281758317760394,16.554232804232804,16.34259259259259
17,2.1913013850586323,2.406137796009288,17.8505291005291,15.540123456790123
18,2.1746680676182613,2.217795278511795,18.326719576719576,17.42283950617284
19,2.158438259539222,2.167281475721621,19.33862433862434,20.21604938271605
20,2.1414466125552662,2.1489502448661653,19.755291005291006,20.123456790123456
21,2.109135703698492,2.13291449990927,21.349206349206348,20.385802469135804
22,2.0884456262306825,2.1535008257510615,22.321428571428573,19.598765432098766
23,2.071141651411097,2.099006166645125,22.976190476190474,22.006172839506174
24,2.0492051482703615,2.1554026592011546,24.054232804232804,21.46604938271605
25,2.0310906674791487,2.258974914457284,24.6494708994709,22.175925925925927
26,2.0023889913840636,2.0619837489782595,25.297619047619047,23.055555555555557
27,1.9713757264463208,2.135710040728251,26.884920634920636,23.996913580246915
28,1.9445566929845368,2.0965865114155937,28.306878306878307,24.675925925925927
29,1.9202322260739935,2.006769959833108,28.703703703703702,26.48148148148148
30,1.895248771216799,2.1516548430218414,30.324074074074073,22.59259259259259
