=== resnet18 Training Report ===

Model: resnet18
Final Training Accuracy: 66.29%
Final Validation Accuracy: 17.56%
Training History:
Epoch | Train Loss | Val Loss | Train Acc | Val Acc
------------------------------------------------------------
    1 |     1.7847 |  62.9993 |     30.04 |   13.09
    2 |     1.5004 |  51.4927 |     40.89 |   14.40
    3 |     1.3880 |  55.4797 |     44.99 |   19.35
    4 |     1.3060 |  51.6565 |     48.35 |   20.32
    5 |     1.2467 |  36.5257 |     50.72 |   21.06
    6 |     1.2120 | 115.6719 |     52.18 |   12.11
    7 |     1.1647 |  67.7889 |     54.11 |   16.76
    8 |     1.1569 |  33.0307 |     54.23 |   19.72
    9 |     1.1177 |  89.0271 |     55.57 |   14.43
   10 |     1.0386 | 108.0569 |     58.80 |   19.12
   11 |     1.0188 | 115.2260 |     59.37 |   19.01
   12 |     1.0035 | 154.0719 |     59.87 |   19.74
   13 |     0.9978 | 163.8216 |     59.85 |   19.09
   14 |     0.9427 | 165.4586 |     62.01 |   20.29
   15 |     0.9233 | 156.1217 |     62.88 |   20.68
   16 |     0.9154 | 169.0904 |     63.28 |   19.66
   17 |     0.9052 | 196.3739 |     63.21 |   20.09
   18 |     0.8791 | 223.0852 |     64.83 |   18.40
   19 |     0.8727 | 221.7514 |     64.65 |   16.42
   20 |     0.8663 | 208.8114 |     64.99 |   19.57
   21 |     0.8644 | 218.2365 |     65.16 |   18.64
   22 |     0.8427 | 217.4554 |     65.92 |   16.48
   23 |     0.8393 | 230.1620 |     65.50 |   16.62
   24 |     0.8365 | 231.2392 |     66.42 |   16.67
   25 |     0.8330 | 215.5828 |     66.29 |   17.56
