epoch,train_loss,val_loss,train_acc,val_acc
1,1.092249206746066,0.797805258105783,61.916666666666664,71.51851851851852
2,0.7341684532607043,1.60066520466524,74.33796296296296,61.51851851851852
3,0.5778266688629433,0.6974167336435879,80.18055555555556,76.62962962962963
4,0.47282655478627594,0.4277253799578723,83.73148148148148,85.07407407407408
5,0.39958908355898326,0.5054130548939986,86.39814814814815,83.03703703703704
6,0.3507410544377786,0.46497341832693884,87.92129629629629,83.81481481481481
7,0.30815606042190835,0.29070532181683706,89.52777777777777,89.96296296296296
8,0.2789276544915305,0.3935055171742159,90.56944444444444,86.62962962962963
9,0.25179345144441834,0.43199112450375277,91.36574074074075,84.81481481481481
10,0.2329030003812578,0.3450784065267619,92.02314814814815,88.4074074074074
11,0.209683770124835,0.2416255388628034,92.79629629629629,91.70370370370371
12,0.19270664948832106,0.19391429864746682,93.20370370370371,93.07407407407408
13,0.17237001508750296,0.18410015467773466,94.14351851851852,93.81481481481481
14,0.16120567805099267,0.2929573690190035,94.56018518518519,90.70370370370371
15,0.15575584041644577,0.2582721223725992,94.5,92.25925925925925
16,0.14829668171220908,0.15802676362149856,94.93055555555556,94.66666666666667
17,0.13811292676531053,0.12254558821373127,95.35185185185185,95.48148148148148
18,0.13205964997341788,0.20920122200075317,95.42592592592592,92.25925925925925
19,0.12727866375473915,0.4759842457140193,95.65277777777777,85.77777777777777
20,0.1163834995314203,0.15989744336727787,95.85185185185185,94.66666666666667
